ナタ	娜塔	name,woman,short of ナタリー(娜塔莉)
ドッジー	多奇	name,woman,nick name of ナタリー(娜塔莉)
オリ	奥利	name,woman,short of オリヴィア（奥利维亚）
マサ	玛莎	name,woman
幸人	幸人	first name of 篠岡幸人,man
篠岡	筱冈	lastname of 篠岡幸人(man)
三郎	三郎	first name of 片山三郎,man
片山	片山	lastname of 片山三郎(man)
樹	树	first name of 神坂樹,
神坂	神坂	lastname of 神坂樹()
博	博	first name of 城島博,man
城島	城岛	lastname of 城島博(man)
正造	正造	first name of 高槻正造,man
高槻	高槻	lastname of 高槻正造(man)
龍重	龙重	first name of 天王寺龍重,man
雫	雫	first name of 天王寺雫,woman
天王寺	天王寺	lastname of 天王寺龍重(man) and 天王寺雫(woman)
ナタリー	娜塔莉	first name of 相川ナタリー,woman
相川	相川	lastname of 相川ナタリー(woman)
オリヴィア	奥利维亚	first name of オリヴィアポートタウン,woman
ケイン	凯因	first name of ケインポートタウン,man,father of オリヴィア（奥利维亚）
ポートタウン	波特唐姆	lastname of オリヴィアポートタウン(woman) and ケインポートタウン(man,father of オリヴィア（奥利维亚）)
愛	爱	first name of 中津愛,woman
中津	中津	lastname of 中津愛(woman)
葉月	叶月	first name of 柴島葉月,woman
柴島	柴岛	lastname of 柴島葉月(woman)
霞	霞	first name of 桜川霞,woman
桜川	樱川	lastname of 桜川霞(woman)
操	操	first name of 梅田操,woman
梅田	梅田	lastname of 梅田操(woman)
ワールド・クリエイティブ・パートナーズ	World Creative Partners	公司名
ワールド・クリエイティブ	World Creative	公司名
ワールドクリエイティブ・パートナーズ	World Creative Partners	公司名
ワールドクリエイティブ	World Creative	公司名
マルノミヤ	丸之宫	
遊世閣	游世阁	
浪花テレビ	浪花电视台	
ファンド	基金	
