ルル	露露	name,woman
草平	草平	first name of 風早草平,man
風早	风早	lastname of 風早草平(man)
隆三	隆三	first name of 八千草隆三,man
樹	树	first name of 八千草樹,woman
響果	响果	first name of 八千草響果,woman
蜜音	蜜音	first name of 八千草蜜音,woman
鉄男	铁男	first name of 八千草鉄男,man
八千草	八千草	lastname of 八千草隆三(man) and 八千草樹(woman) and 八千草響果(woman) and 八千草蜜音(woman) and 八千草鉄男(man)
碧葉	碧叶	first name of 硯碧葉,woman
硯	砚	lastname of 硯碧葉(woman)
美園	美园	first name of 月原美園,woman
月原	月原	lastname of 月原美園(woman)
ベラドンナ	贝拉多娜	
いつき	shu	name, kana of 樹, so translate to pinyin shu
