@0||#26||strb(50523131)
@7||#46||strb(5748495445)
@15||#14||u8(33)
@19||#46||strb(41303341)
@26||#14||u8(33)
@30||#4e||u8(3)
@34||#00||str(薫子从学校襍隸后，\N我和薫子正式訶婚了)
@97||#00||str(「那綴鞐宣誓靭的誓言」)
@122||#72||strb(56373030303031)
@132||#00||str(【薫子】\N「好的」)
@153||#00||str(无鬢疾病袞是健康……\N将全部的自己奉献漣主人)
@224||#72||strb(56373030303032)
@234||#00||str(【薫子】\N「我……一直梦想着」)
@279||#72||strb(56373030303033)
@289||#00||str(【薫子】\N「像鵑鞆…訶憊隱理…」)
@332||#72||strb(56373030303034)
@342||#00||str(【薫子】\N「我靭緞，主人」)
@379||#00||str(訶局１：幸福婚礼)
@418||#18||strb(454e44)
