ミーメ	米梅	name,girl,doctor
フェンリル	芬里尔	name,girl
ウールヴヘジン	狼皮狂战士	name
ブリュンビッチ	布伦维奇	name,girl
マーナガルム	玛纳加尔姆	name,girl
みおり	澪璃	name,girl
しほ	诗帆	name,girl
しほ	诗帆	name,boy
ハガル	夏甲	first name of ハガルブリュンヒルデ,girl
ブリュンヒルデ	布伦希尔特	lastname of ハガルブリュンヒルデ(girl)
ペイオース	佩欧斯	first name of ペイオースゲンドゥル,girl
ゲンドゥル	贡杜尔	lastname of ペイオースゲンドゥル(girl)
詩帆	诗帆	first name of 来島詩帆,girl
猛	猛	first name of 来島猛,man,teacher,father of 詩帆
来島	来岛	lastname of 来島詩帆(girl) and 来島猛(man,teacher,father of 詩帆)
澪璃	澪璃	first name of 浅海連十朗澪璃,girl
連十朗	连十朗	middle name of 浅海連十朗澪璃,girl
浅海	浅海	lastname of 浅海連十朗澪璃(girl)
理香	理香	first name of 師崎理香,girl
師崎	师崎	lastname of 師崎理香(girl)
直人	直人	first name of 真鍋直人,girl
真鍋	真锅	lastname of 真鍋直人(girl)
明	明	first name of 下津井明,man,teacher
下津井	下津井	lastname of 下津井明(man,teacher)
琉平	琉平	first name of 邑上琉平,boy
邑上	邑上	lastname of 邑上琉平(boy)
ソル	索尔	first name of ソルヴァルキリー,girl
ヴァルキリー	瓦尔基里	lastname of ソルヴァルキリー(girl)
ジークフリード	西格弗里德	first name of マジスティジークフリード,
マジスティ	马吉斯蒂	lastname of マジスティジークフリード()
ヴァルハラ 	瓦尔哈拉	
サードロット 	第三代	
