丂乗乗搒撪朸強丅=　――都内某处。
彮彈乽乧乧偭乿=少女「……唔」
丂埫埮偵堦嬝偺岝丅=　黑暗中一缕光线。
丂撍慠偺摂偝傟偨岝偵丄彮彈偼峥偟偦偆偵昞忣傪榗傔偨丅=　突然亮起的光线让少女眯起眼睛，表情扭曲。
丂偩偑丄偦傟傕堦弖丅=　但那只是一瞬间。
丂彮彈偼帺暘偵岦偗傜傟偨帇慄傪姶偠丄偛偔帺慠偵垽傜偟偄徫傒傪曉偟偨丅=　感受到投向自己的视线，少女非常自然地回以可爱的微笑。
丂摨帪偵彫偝側偞傢傔偒偑婲偙傞丅=　同时响起一阵小小的骚动。
丂抝偺惡偩丅=　是男人的声音。
丂埫埮偐傜暦偙偊偰偒偨偺偼戝懡悢偑抝惈偺惡偩偭偨丅=　从黑暗中传来的大多是男性的声音。
丂彮彈偺巇憪堦偮堦偮偵娊惡偑婲偙傞丅=　少女的每一个动作都引起欢呼。
彮彈乽乧丠乿=少女「…？」
丂彮彈偼帺暘偑側偤崯張偵偄傞偺偐傢偐傜側偐偭偨丅=　少女不明白自己为什么会在这里。
丂婥偑偮偄偨傜丄崯張偵偄偨丅=　回过神来，已经在这里了。
丂崯張偵棃傞傑偱偺帠偼壇偊偰偄側偄乧丅=　来到这里之前的事情完全记不起来了……
丂乧乧偩偑丄崱帺暘偑偡傞傋偒帠偼傢偐偭偰偄傞丅=　……但是，现在应该做什么却很清楚。
彮彈乽乧乧乧乧乧乧乧乧乧乿=少女「………………………」
丂彮彈偼埫埮偵岦偗丄戝偒偔屢傪峀偘偨丅=　少女面向黑暗，大大地张开了双腿。
丂乗乗娊惡偑堦嵺戝偒偔側傞丅=　――欢呼声一下子变得更加响亮。
丂偳偙偐嫸婥偠傒偨嬻婥偑埫埮偵峀偑偭偨丅=　一种近乎疯狂的气氛在黑暗中蔓延开来。
丂彮彈偼棁偩偭偨丅=　少女是赤裸的。
丂傑傞偱崱丄惗傑傟偨偽偐傝偺傛偆偵偦偙偵懚嵼偟偰偄偨丅=　仿佛刚刚出生一般，就那样存在于那里。
丂埫埮偵塮偊傞敀偄敡偼丄岝傝婸偒丄恄乆偟偝偝偊姶偠偝偣偨丅=　在黑暗中映衬出的白皙肌肤，闪闪发光，甚至让人感到一种神圣。
