%line%,%seq%,%effect%,%music%,%bg%,%cg%,%ov%,%truename%,%name%,%voice%,%st0_name%,%st0_face%,%st1_name%,%st1_face%,%pageflag%,%text%
10000 ,@00op,,,,,,,,,,,,,,
10070 ,,<hide>,0,9001,,,,,,,,,,,
10080 ,,<hide><s_fade time=""1000"" type=""rotate"" param=""zoom=n&round=0&reverce=true"">,,,,ov/logo.pgx,,,,,,,,,
10089 ,,<hide><wait time=""200""><s_fade time=""300"">,,,,ov/logo1.pgx,,,,,,,,,
10090 ,$name_entry,,,,,ov/logo1.pgx,,,,,,,,,
10400 ,,<hide><m_fade fadeout=""2500"">,0,,,ov/logo.pgx,,,,,,,,,
10500 ,,<hide><wait time=""500""><s_fade time=""1500"" type=""rotate"" param=""rotate=p&zoom=n&round=1440&reverce=false"">,,9001,,,,,,,,,,,
10600 ,,<hide><wait time=""500""><m_fade fadein=""2000"">,2,,,,,,,,,,,,
10700 ,,<hide><s_fade time=""2500"" type=""cross"" param=""file=af/blind_gra.af&range=-64"">,,1051,,,,,,,,,,,
10800 ,,,,,,,,,,,,,,,　夏の日の、午後。
10900 ,,,,,,,,,,,,,,,　俺は冷房の効いた部屋でパソコンに向かい、ちょっと遅れ気味の仕事をやっつけていた。
11000 ,,,,,,,弘明,弘明,,,,,,,「うーん……そろそろ、クライアントに泣きの電話を入れた方がいいかなぁ……」
11100 ,,,,,,,,,,,,,,,　思い出したようにメーラーの送受信ボタンを押して、待つこと数秒。
11200 ,,,,,,,,,,,,,,,　『新着メールはありません』と出た表示を見て、俺は小さく息をつく。
11300 ,,,,,,,弘明,弘明,,,,,,,「とりあえず催促もないし……明日の朝までに納品すれば怒られないかな。ふぅ……」
11500 ,,,,,,,,,,,,,,,　俺の仕事は、在宅勤務のウェブサイトデザイナー。
雨後のタケノコのようにわいた半アマチュアとは違い、確たる腕を持った本職のウェブデザイナーだ。
　……多分。
12000 ,,<voice_volume vol=""-1500""><m_fade fadeout=""1500"" fadein=""2500"">,1,,,,みらい,声,01mir110_001.wav,,,,,,「おにいちゃーんっ！」
12100 ,,,,,,,,,,,,,,,　……んっ？
12400 ,,<voice_volume vol=""-1500"">,,,,,みらい,声,01mir110_002.wav,,,,,,「おにいちゃん、おにいちゃーん」
12500 ,,,,,,,,,,,,,,,　ああ、この声は……。
12600 ,,,,,,,弘明,弘明,,,,,,,「はいはい、いま開けるよ」
12700 ,,,,,,,,,,,,,,,　俺はエディタで編集していた仕事のファイルを保存すると、愛用のタブブラウザで当たりさわりのないウェブサイトを表示させてから、席を立った。
12900 ,,,,1031,,,,,,,,,,,　だいたいこの時間になると、俺の部屋には可愛い二人が訪ねてくる。
13200 ,,<voice_volume vol=""-1000"">,,,,,みなと,声,02min110_001.wav,,,,,,「お姉ちゃん……あんまりさわいだら、近所の人にめいわくだよ……」
13500 ,,<voice_volume vol=""-1000"">,,,,,みらい,声,01mir110_003.wav,,,,,,「いいのっ！　こんなにあついのに、すぐ出ないお兄ちゃんがわるいんでしょっ」
