%line%,%seq%,%effect%,%music%,%bg%,%cg%,%ov%,%truename%,%name%,%voice%,%st0_name%,%st0_face%,%st1_name%,%st1_face%,%pageflag%,%text%
10000 ,@03tsu001,,,,,,,,,,,,,,
10390 ,"$fset %tsubasa_route,1",,,,,,,,,,,,,,
10400 ,,,4,2021,,,,,,,,,,,
10500 ,,,,,,,弘明,弘明,,,,,,,「へぇ…………」
10600 ,,,,,,,,,,,,,,,　つばさたちの試合が始まると、俺はまず、素直に感心していた。
10700 ,,,,,,,,,,,,,,,　専用のユニフォームもないその姿を見て、やっぱり学園の部活動レベルか……と思っていたら、なかなかどうして。
10800 ,,,,,,,,,,,,,,,　フリーキックなどセットプレー後の展開や、ディフェンスラインの管理も見事。つばさたちは、俺が思っていたよりずっとレベルの高いサッカーを展開していた。
10900 ,,,,,,,弘明,弘明,,,,,,,「俺がつばさぐらいの頃は、みんなでただボールを追いかけ回すだけのサッカーをしていたような気がするけどなあ……。今は、レベルが高いんだな……」
11000 ,,,,,,,,,,,,,,,　俺は妙な感慨を抱きつつも、試合の行方に注目する。
11100 ,,,,,,,,,,,,,,,　つばさのチームはディフェンダーが３人、中盤に５人、前線に２人という、よく見る「３－５－２」のシステム。
11200 ,,,,,,,,,,,,,,,　中央最後列でディフェンスラインを統率するつばさは積極的にラインを上げ下げし、前線と最終ラインとの間をコンパクトに圧縮させていた。
11300 ,,,,,,,,,,,,,,,　指示もキャプテンらしく堂々としていて、なかなか見事な指揮っぷりと言える。
11400 ,,,,,,,弘明,弘明,,,,,,,「ふぅん……やるなあ、つばさも」
11500 ,,,,,,,,,,,,,,,　試合開始からしばらくは、互いに中盤での一進一退が続いていた。
11600 ,,,,,,,,,,,,,,,　つばさのチームは豊富な中盤の人間を縦横に走らせ、相手チームのスキを探す。
11700 ,,,,,,,,,,,,,,,　やがてそのほころびを見つけ出したのか、ザッと地を蹴る音と共に、最前線へ鋭いパスが送られた。敵のディフェンダーと味方のフォワードが、ゴール前で激しくもつれ合う。
11800 ,,,,,,,,,,,,,,,　次の瞬間、俺のいる場所からはゴールネットが揺れるのだけが見えた。それから一呼吸して、周囲から黄色い歓声が起きる。
11900 ,,,,,,,弘明,弘明,,,,,,,「おっ……入ったか。チャンスをしっかりものにしたな」
12000 ,,,,,,,,,,,,,,,　前半のなかば、つばさのチームが１点を先制した。チアリーダーたちの歓声は、まだ続いている。
12100 ,,,,,,,,,,,,,,,　つばさも、センターサークル付近でチームメイトと手を叩き合っていた。
12200 ,,,,,,,弘明,弘明,,,,,,,「……ん？」
12300 ,,,,,,,,,,,,,,,　俺はそのとき、ふと気付いた。
12400 ,,,,,,,,,,,,,,,　左サイドバックを守る、３番のゼッケンを付けた体格のいい選手。その選手だけは、喜びの輪に加わっていない。
12500 ,,,,,,,弘明,弘明,,,,,,,「ふむ…………」
12600 ,,,,,,,,,,,,,,,　俺は少し引っかかるものを感じながら、キックオフで再開された試合に意識を戻す。
12700 ,,,,,,,,,,,,,,,　試合はそのまま、前半を終えた。１－０、つばさのチームが１点リード。
12800 ,,,,,,,,,,,,,,,　勝っていることももちろん嬉しいだろうが、つばさたちディフェンダーにとっては、最終ラインを堅実に守りきっていることの方が嬉しいだろう。
12900 ,,,,,,,,,,,,,,,　俺はグラウンドから引き上げてきたつばさに近付こうとして、それを思いとどまる。
13000 ,,,,,,,,,,,,,,,　つばさはチームメイトと、前半の内容を振り返って意見を交換していた。ここは、部外者の俺が邪魔をしては悪いだろう。
