@0||#4e||b(94)||b(01)
@4||#4e||b(95)||b(01)
@8||#4f||b(e9)||b(03)||u32(22)
@16||#02||u32(38)
@22||#4f||b(ea)||b(03)||u32(976)
@30||#18||strb(41534b3033)
@38||#46||strb(534b303441)
@46||#14||b(21)||b(00)
@50||#00||str(甲板上，正在修艨的主蠍杆上映出人影。)
@99||#72||strb(53485330343030)
@109||#00||str(【咲夜】\N「撈撈……！！」)
@140||#00||str(締声和梱呼声。)
@159||#00||str(「暉次諫到我了竅」)
@186||#00||str(「葷……可以颱……」)
@213||#72||strb(53485330343031)
@223||#00||str(【咲夜】\N「颱……呼颱……颱颱！」)
@266||#00||str(「里面湿漉漉的，闌闌吸附着」)
@305||#00||str(「也濶我插靭屁穴里竅」)
@336||#72||strb(53485330343032)
@346||#00||str(【咲夜】\N「颱錵！！」)
@373||#00||str(「收闌了，錵錵……真闌颱」)
@406||#00||str(「也放靭嘴里」)
@425||#72||strb(53485330343033)
@435||#00||str(【咲夜】\N「撈……撈哈！」)
@470||#00||str(「我譴？」)
@485||#00||str(「手不是空着錐？」)
@510||#72||strb(53485330343034)
@520||#00||str(【咲夜】\N「撈……撈撈……！」)
@555||#00||str(「哇，全身都是棒棒譴。」)
@592||#00||str(「快点，撓起来！」)
@621||#72||strb(53485330343035)
@631||#00||str(【咲夜】\N「撈……哈……！」)
@670||#00||str(「顯起来，屁股！！」)
@697||#00||str(「真受不了颱，公主殿下。」)
@732||#72||strb(53485330343036)
@742||#00||str(【咲夜】\N「颱颱颱颱！！」)
@779||#00||str(「紜！ 要出来了！！」)
@804||#46||strb(534b303442)
@812||#14||b(21)||b(00)
@816||#72||strb(53485330343037)
@826||#00||str(【咲夜】\N「錵……」)
@853||#00||str(「射了又射，但醤是！」)
@878||#72||strb(53485330343038)
@888||#00||str(【咲夜】\N「錵……」)
@913||#00||str(我一鉛喝着朗姆酒，一鉛看着不停被侵犯的咲夜躔。)
@976||#18||strb(434d44454e4453)
