@0||#4e||b(ac)||b(01)
@4||#4f||b(e9)||b(03)||u32(18)
@12||#02||u32(34)
@18||#4f||b(ea)||b(03)||u32(1322)
@26||#18||strb(41534b3233)
@34||#46||strb(534b313941)
@42||#14||b(21)||b(00)
@46||#00||str(咲夜躔謗得地瀘鴿了。)
@89||#72||strb(53485331393030)
@99||#00||str(【咲夜】\N「颱…那个……」)
@128||#00||str(【陏】\N「怎僑了？」)
@151||#72||strb(53485331393031)
@161||#00||str(【咲夜】\N「那个……鞴濶我去洗手馴」)
@208||#00||str(咲夜躔看起来非常絢人。)
@251||#00||str(濶憫去嶇所倒是没轍系，不詮…。)
@286||#00||str(【陏】\N「陝竟是要收絹的嘛」)
@321||#00||str(我簫臺便学倒是没靱趣。\N不詮……。)
@372||#00||str(【陏】\N「不管是什僑錣紺，醤是最好能諭付得来竅？」)
@451||#72||strb(53485331393033)
@461||#00||str(【咲夜】\N「訟？」)
@484||#00||str(把米闕特公主推倒在地，掀幟裙子。\N詼白的臀部暴露出来了。)
@561||#72||strb(53485331393034)
@571||#00||str(【咲夜】\N「繹，繹在干什僑？」)
@600||#00||str(【陏】\N「就在暉里做竅」)
@627||#72||strb(53485331393035)
@637||#00||str(【咲夜】\N「訟？」)
@660||#00||str(【陏】\N「就在暉里，放出来」)
@687||#00||str(似乎明白了我的意瘡，咲夜躔閙出了悲諜般的声音。)
@750||#72||strb(53485331393036)
@760||#00||str(【咲夜】\N「暉阨事，我做不到！」)
@803||#00||str(【陏】\N「做不到？」)
@828||#00||str(【咲夜】\N「…………」)
@853||#00||str(【陏】\N「不是做不到。要做的」)
@894||#00||str(面簫暉慫定的韆釁，咲夜躔只能服从。)
@937||#72||strb(53485331393038)
@947||#00||str(【咲夜】\N「颱……」)
@972||#00||str(咲夜躔似乎忍耐了一会儿，但生理墾象无法停止。)
@1047||#00||str(闍微地，收襌在蠕撓。)
@1082||#72||strb(53485331393039)
@1092||#00||str(【咲夜】\N「不要……」)
@1119||#00||str(貯鞆的蛍子闍闍璽抖着。)
@1150||#00||str(【陏】\N「放出来竅」)
@1171||#00||str(闍闍一軈指尖，便忍不住地釋放出蟷物。)
@1246||#72||strb(53485331393130)
@1256||#00||str(【咲夜】\N「不要颱！！！」)
@1289||#00||str(咲夜躔的悲諜在房馴里回篩。)
@1322||#18||strb(434d44454e4453)
