御桜	御樱	name,woman,teacher
アウローラ	欧若拉	name,name of a store
圭吾	圭吾	first name of 佐倉圭吾,boy
佐倉	佐仓	lastname of 佐倉圭吾(boy)
いつか	依兹卡	first name of 織笠いつか,girl
織笠	织笠	lastname of 織笠いつか(girl)
七理	七理	first name of 久城七理,girl
久城	久城	lastname of 久城七理(girl)
リンネ	林奈	first name of 月見里リンネ,girl
月見里	月见里	lastname of 月見里リンネ(girl)
憂	忧	first name of 椎崎憂,gril
椎崎	椎崎	lastname of 椎崎憂(gril)
桃花	桃花	first name of 南桃花,girl
南	南	lastname of 南桃花(girl)
踊子	踊子	first name of 瀬能踊子,girl
舞奈	舞奈	first name of 瀬能舞奈,girl
瀬能	濑能	lastname of 瀬能踊子(girl) and 瀬能舞奈(girl)
有原    有原    name, man
コック  厨师
