#CGモード一覧
#サムネール, 画像1, 画像2, 画像3, ...
:,EV
thum_1ページ目上段1,	EV001A,EV001B,EV001C
thum_1ページ目上段2,	EV002A,EV002B,EV002C
thum_1ページ目上段3,	EV003A,EV003B,EV003C
thum_1ページ目上段4,	EV004A,EV004B
thum_1ページ目上段5,	EV005A,EV005B,EV005C,EV005D
thum_1ページ目中段1,	EV006A,EV006B,EV006C,EV006D
thum_1ページ目中段2,	EV007A,EV007B,EV007C,EV007D
thum_1ページ目中段3,	EV008A,EV008B,EV008C,EV008D
thum_1ページ目中段4,	EV009A,EV009B
thum_1ページ目中段5,	EV010A,EV010B,EV010C,EV010D
thum_1ページ目下段1,	EV011A,EV011B,EV011C
thum_1ページ目下段2,	EV012A,EV012B,EV012C,EV012D,EV012E,EV012F,EV012G
thum_1ページ目下段3,	EV013A,EV013B,EV013C,EV013D
thum_1ページ目下段4,	EV014A,EV014B
thum_1ページ目下段5,	EV015A,EV015B,EV015C,EV015D
#
thum_2ページ目上段1,	EV016A,EV016B,EV016C,EV016D,EV016E,EV016F
thum_2ページ目上段2,	EV017A,EV017B,EV017C
thum_2ページ目上段3,	EV018A,EV018B,EV018C,EV018D,EV018E
thum_2ページ目上段4,	EV019A,EV019B
thum_2ページ目上段5,	EV020A,EV020B,EV020C,EV020D
thum_2ページ目中段1,	EV021A,EV021B,EV021C
thum_2ページ目中段2,	EV022A,EV022B,EV022C,EV022D
thum_2ページ目中段3,	EV023A,EV023B,EV023B|*EV023B_cutin1,EV023C|*EV023C_cutin1|EV023C_cutin2,EV023C|*EV023C_cutin2,EV023D
thum_2ページ目中段4,	EV024A,EV024B
thum_2ページ目中段5,	EV025A,EV025AA,EV025AB,EV025BA,EV025CA,EV025DA,EV025FA,EV025FB
thum_2ページ目下段1,	EV101A,EV101B,EV101C,EV101D,EV101E
thum_2ページ目下段2,	EV102A,EV102B,EV102C,EV102D,EV102E
thum_2ページ目下段3,	EV103A,EV103B,EV103C,EV103D,EV103E,EV103F,EV103G,EV103H,EV103I,EV103J
thum_2ページ目下段4,	EV104A,EV104B,EV104C,EV104D,EV104E,EV104F
thum_2ページ目下段5,	EV105A,EV105B,EV105C,EV105D,EV105E,EV105F
#
thum_3ページ目上段1,	EV106A,EV106B,EV106C,EV106D,EV106E,EV106F
thum_3ページ目上段2,	EV107A,EV107B,EV107C,EV107D,EV107E
thum_3ページ目上段3,	EV108A,EV108B,EV108B|*EV108B_cutin,EV108C,EV108C|*EV108C_cutin,EV108D|*EV108D_cutin,EV108E
thum_3ページ目上段4,	EV109A,EV109B,EV109C,EV109D,EV109E,EV109F
thum_3ページ目上段5,	EV110A,EV110B,EV110C,EV110D,EV110E
thum_3ページ目中段1,	EV111A,EV111B,EV111C,EV111D,EV111E,EV111F
thum_3ページ目中段2,	EV201A,EV201B,EV201C,EV201D,EV201E
thum_3ページ目中段3,	EV202A,EV202B,EV202C,EV202D,EV202E,EV202F,EV202G,EV202H,EV202I,EV202J
thum_3ページ目中段4,	EV203A,EV203B,EV203C,EV203D,EV203D|*EV203D_cutin,EV203E,EV203E|*EV203E_cutin,EV203F,EV203F|*EV203F_cutin
thum_3ページ目中段5,	EV204A,EV204B,EV204C,EV204D,EV204E,EV204F
thum_3ページ目下段1,	EV205A,EV205B,EV205C,EV205D,EV205E,EV205F
thum_3ページ目下段2,	EV206A,EV206B,EV206C,EV206D,EV206E,EV206F
thum_3ページ目下段3,	EV207A,EV207B,EV207C,EV207D,EV207E
thum_3ページ目下段4,	EV208A,EV208B,EV208C,EV208D,EV208E,EV208F
thum_3ページ目下段5,	EV209A,EV209B,EV209C,EV209D,EV209E,EV209F
#
thum_4ページ目上段1,	EV210A,EV210B,EV210B|*EV210B_cutin,EV210C,EV210C|*EV210C_cutin,EV210D,EV210D|*EV210D_cutin,EV210E,EV210E|*EV210E_cutin,EV210F
thum_4ページ目上段2,	EV211A,EV211B,EV211C,EV211D,EV211E
thum_4ページ目上段3,	EV301A,EV301B,EV301C,EV301D,EV301E,EV301F,EV301G,EV301H
thum_4ページ目上段4,	EV302A,EV302B,EV302C,EV302D,EV302E
thum_4ページ目上段5,	EV303A,EV303B,EV303C,EV303D,EV303E
thum_4ページ目中段1,	EV304A,EV304B,EV304C,EV304D,EV304E
thum_4ページ目中段2,	EV305A,EV305B,EV305C,EV305D,EV305E
thum_4ページ目中段3,	EV306A,EV306B,EV306C,EV306D,EV306E,EV306F
thum_4ページ目中段4,	EV307A,EV307B,EV307B|*EV307B_cutin,EV307C,EV307C|*EV307C_cutin,EV307D,EV307D|*EV307D_cutin,EV307E,EV307E|*EV307E_cutin
thum_4ページ目中段5,	EV308A,EV308B,EV308C,EV308D,EV308E,EV308F
thum_4ページ目下段1,	EV309A,EV309B,EV309C,EV309D,EV309E
thum_4ページ目下段2,	EV310A,EV310B,EV310C,EV310D,EV310E,EV310F
thum_4ページ目下段3,	EV311A,EV311B,EV311C,EV311D,EV311E,EV311F
thum_4ページ目下段4,	EV401A,EV401B,EV401C,EV401D
thum_4ページ目下段5,	EV402A,EV402B,EV402C,EV402D,EV402E
#
thum_5ページ目上段1,	EV403A,EV403B,EV403C,EV403D,EV403E,EV403F,EV403G,EV403H
thum_5ページ目上段2,	EV404A,EV404B,EV404C,EV404D,EV404E,EV404F
thum_5ページ目上段3,	EV405A,EV405B,EV405C,EV405D,EV405E,EV405F
thum_5ページ目上段4,	EV406A,EV406B,EV406C,EV406D,EV406E
thum_5ページ目上段5,	EV407A,EV407B,EV407C,EV407D,EV407E,EV407F
thum_5ページ目中段1,	EV408A,EV408B,EV408C,EV408D,EV408E
thum_5ページ目中段2,	EV409A,EV409B,EV409C,EV409D,EV409E,EV409F,EV409G
thum_5ページ目中段3,	EV410A,EV410B,EV410C,EV410D,EV410E
thum_5ページ目中段4,	EV411A,EV411A|*EV411A_cutin,EV411B,EV411B|*EV411B_cutin,EV411C,EV411C|*EV411C_cutin,EV411D,EV411D|*EV411D_cutin,EV411E,EV411E|*EV411E_cutin,EV411F,EV411F|*EV411F_cutin
thum_5ページ目中段5,	EV501A,EV501B,EV501C,EV501D,EV501E,EV501F,EV501G
thum_5ページ目下段1,	EV601A,EV601B,EV601C,EV601D,EV601E,EV601F,EV601G
thum_5ページ目下段2,	EV701A,EV701B,EV701C,EV701D,EV701E,EV701F
thum_5ページ目下段3,	EV702A,EV702B,EV702C,EV702D,EV702E,EV702F
thum_5ページ目下段4,	EV703A,EV703B,EV703C,EV703D,EV703E,EV703F
thum_5ページ目下段5,	EV704A,EV704B,EV704C,EV704D,EV704E,EV704F
:,SD
thum_SD上段1,	sdviewbase|*SD001A,sdviewbase|*SD001B,sdviewbase|*SD001C,sdviewbase|*SD001D
thum_SD上段2,	sdviewbase|*SD002A,sdviewbase|*SD002B,sdviewbase|*SD002C
thum_SD上段3,	sdviewbase|*SD003A,sdviewbase|*SD003B,sdviewbase|*SD003C
thum_SD上段4,	sdviewbase|*SD004A,sdviewbase|*SD004B
thum_SD上段5,	sdviewbase|*SD005A,sdviewbase|*SD005B,sdviewbase|*SD005C
thum_SD中段1,	sdviewbase|*SD006A,sdviewbase|*SD006B,sdviewbase|*SD006C
thum_SD中段2,	sdviewbase|*SD007A,sdviewbase|*SD007B,sdviewbase|*SD007C,sdviewbase|*SD007D
thum_SD中段3,	sdviewbase|*SD008A,sdviewbase|*SD008B,sdviewbase|*SD008C
thum_SD中段4,	sdviewbase|*SD009A,sdviewbase|*SD009B,sdviewbase|*SD009C
thum_SD中段5,	sdviewbase|*SD010A,sdviewbase|*SD010B,sdviewbase|*SD010C
thum_SD下段1,	sdviewbase|*SD011A,sdviewbase|*SD011B,sdviewbase|*SD011C
