珠里奈	珠理奈	first name of 古宮珠里奈,woman
蒼汰	苍汰	first name of 古宮蒼汰,man
古宮	古宫	lastname of 古宮珠里奈(woman) and 古宮蒼汰(man)
香住	香住	first name of 矢切香住,woman
矢切	矢切	lastname of 矢切香住(woman)
アニキ	大哥	
＃Ａ００	＃Ａ００	code refers to a special symbol, do not change it
＃Ａ０１	＃Ａ０１	code refers to a special symbol, do not change it
＃Ａ０２	＃Ａ０２	code refers to a special symbol, do not change it
＃Ａ０３	＃Ａ０３	code refers to a special symbol, do not change it
＃Ａ０４	＃Ａ０４	code refers to a special symbol, do not change it
＃Ａ０５	＃Ａ０５	code refers to a special symbol, do not change it
＃Ａ０６	＃Ａ０６	code refers to a special symbol, do not change it
