//	ゲームシステム画面設定

//	背景
//image:gamesystemimage00 960 336
//image:gamesystemimage01 784 512

//	ボタン
//		tag:
//			skip	スキップ
//			auto	オート
//			log		ログ
//			save	セーブ
//			load	ロード
//			qsave	クイックセーブ
//			qload	クイックロード
//			system	環境設定
//			window	ウィンドウ消去
//			next	次の選択肢へ
//			title	タイトル画面へ
//		image:
//			ボタン画像
//		x,y:
//			表示位置
//		cursor:
//			マウスオーバー時のカーソル形状
//			voidを指定するとsetting.txtで指定したデフォルトのまま変更しない

//	tag	image		x	y	overSE	downSE	cursor
button:	title	button_title	20	688	void	void	void
button:	next	button_next	2000	662	void	void	void
button:	skip	button_skip	20	662	void	void	void
button:	auto	button_auto	20	636	void	void	void
button:	log	button_log	20	610	void	void	void
button:	window	button_window	20	584	void	void	void

button:	system	button_system	1210	688	void	void	void
button:	load	button_load	1210	662	void	void	void
button:	save	button_save	1210	636	void	void	void
button:	qload	button_qload	1210	610	void	void	void
button:	qsave	button_qsave	1210	584	void	void	void

