シエル	希耶尔	name,dog
エトワール	爱德华	first name of エトワール・テーレ,man
テーレ	泰勒	lastname of エトワール・テーレ(man)
ファルネーゼ	法尔内塞	first name of ファルネーゼ・アトラス,girl
アトラス	阿特拉斯	lastname of ファルネーゼ・アトラス(girl)
ジャクリーン	杰奎琳	first name of ジャクリーン・シュプレンガー,girl
シュプレンガー	施普伦格	lastname of ジャクリーン・シュプレンガー(girl)
イブ	伊布	first name of イブ・クライン,girl
クライン	克莱因	lastname of イブ・クライン(girl)
オリヒメ	织女	first name of オリヒメ・アスティル,girl
アスティル	艾斯提尔	lastname of オリヒメ・アスティル(girl)
フルール	芙璐璐	first name of フルール・ドリス,girl
ドリス	朵丽丝	lastname of フルール・ドリス(girl)
ビビ	美美	first name of ビビ・クッショーニ,girl
クッショーニ	柯秀尼	lastname of ビビ・クッショーニ(girl)
シスター	修女	first name of シスター・グリース,girl
グリース	格丽斯	lastname of シスター・グリース(girl)
ジェット	杰特	first name of ジェット・エルメス ,girl
ジェッタ	杰达	first name of ジェッタ・エルメス ,girl
エルメス 	艾鲁梅斯	lastname of ジェット・エルメス (girl) and ジェッタ・エルメス (girl)
セレネ	塞雷内	name
シンプソン	辛普森	name
カリーナ	卡琳娜	name
クラリス	克拉里斯	name
エルザ	艾尔莎	name
ゲンザブロウ	根扎布罗	name
アンナ	安娜	name
カラバリ	卡拉巴里	name
ヴェガ	织女座	name
アデーレ	阿黛尔	name
ビアンカ	比安卡	name
ハインリヒ	海因里希	name
ディーヴォ	迪沃	name
トム	汤姆	name
キミー	吉米	name
アート	阿特	name
ヘンク	亨克	name
ヴィレム	威廉	name
ラピリュー	拉普利乌	name
マハ	玛哈	name
ムネモシュネ	谟涅摩叙涅	name
星狩り	星狩
