きゃびっとちゃん	Cabbit酱	name,woman
みおんちゃん	妙音酱	name,woman,nickname of 青葉梟 みおん
孔雀石	孔雀石	first name of 孔雀石透子,woman
透子	透子	lastname of 孔雀石透子(woman)
青葉梟	青叶枭	first name of 青葉梟みおん,woman
あおばずく	青叶枭	first name of あおばずくみおん,woman
みおん	妙音	lastname of 青葉梟みおん(woman) and あおばずくみおん(woman)
燕沢	燕泽	first name of 燕沢夜,woman
夜	夜	lastname of 燕沢夜(woman)
瑞葉	瑞叶	first name of 瑞葉伊鶴,woman
伊鶴	伊鹤	lastname of 瑞葉伊鶴(woman)
くじゃくせき	孔雀石	first name of くじゃくせきとうこ,woman
とうこ	透子	lastname of くじゃくせきとうこ(woman)
つばめさわ	燕泽	first name of つばめさわよる,woman
よる	夜	lastname of つばめさわよる(woman)
みずは	瑞叶	first name of みずはいづる,woman
いづる	伊鹤	lastname of みずはいづる(woman)
川蝉	川蝉	first name of 川蝉陽太,man
陽太	阳太	lastname of 川蝉陽太(man)
